sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
西屯,臺中市,40,nan,良好,2.7,0.29,52,47.0,50.0,19,14.0,16.0,1.4,2.0,308.0,"2016-11-25 16:00",,0.32,9,25,nan,nan,nan,nan
忠明,臺中市,39,nan,良好,2.0,0.37,49,46.0,56.0,23,22.0,25.0,3.3,1.9,293.0,"2016-11-25 16:00",,0.43,7,19,nan,nan,nan,nan
大里,臺中市,39,nan,良好,2.8,0.58,76,46.0,46.0,29,18.0,21.0,2.9,2.1,249.0,"2016-11-25 16:00",,0.56,9,26,nan,nan,nan,nan
沙鹿,臺中市,35,nan,良好,2.2,0.28,43,41.0,42.0,14,13.0,15.0,2.0,4.4,347.0,"2016-11-25 16:00",,0.34,6,23,nan,nan,nan,nan
豐原,臺中市,37,nan,良好,3.3,0.34,58,44.0,23.0,8,14.0,15.0,1.5,2.6,298.0,"2016-11-25 16:00",,0.47,7,13,nan,nan,nan,nan
三義,苗栗縣,34,nan,良好,2.0,0.31,46,40.0,36.0,18,nan,nan,nan,1.9,32.0,"2016-11-25 16:00",,0.25,3,17,nan,nan,nan,nan
苗栗,苗栗縣,29,nan,良好,4.1,0.41,24,34.0,40.0,6,25.0,31.0,5.7,2.7,37.0,"2016-11-25 16:00",,0.39,5,24,nan,nan,nan,nan
頭份,苗栗縣,29,nan,良好,1.2,0.3,33,34.0,18.0,7,13.0,15.0,2.1,2.2,74.0,"2016-11-25 16:00",,0.37,7,14,nan,nan,nan,nan
新竹,新竹市,27,nan,良好,2.5,0.32,29,32.0,28.0,2,14.0,17.0,2.4,3.1,77.0,"2016-11-25 16:00",,0.4,3,24,nan,nan,nan,nan
竹東,新竹縣,26,nan,良好,1.8,0.28,27,29.0,17.0,11,13.0,14.0,1.2,2.4,91.0,"2016-11-25 16:00",,0.34,8,9,nan,nan,nan,nan
湖口,新竹縣,31,nan,良好,1.9,0.3,34,36.0,21.0,8,10.0,13.0,2.7,8.1,59.0,"2016-11-25 16:00",,0.31,7,15,nan,nan,nan,nan
龍潭,桃園市,25,nan,良好,2.2,0.33,27,29.0,24.0,2,13.0,17.0,3.9,8.1,66.0,"2016-11-25 16:00",,0.39,5,24,nan,nan,nan,nan
平鎮,桃園市,27,nan,良好,1.9,0.32,32,32.0,14.0,10,12.0,13.0,1.4,4.7,76.0,"2016-11-25 16:00",,0.37,5,20,nan,nan,nan,nan
觀音,桃園市,26,nan,良好,5.8,0.26,24,31.0,44.0,10,19.0,23.0,4.1,7.7,73.0,"2016-11-25 16:00",,0.25,8,28,nan,nan,nan,nan
大園,桃園市,27,nan,良好,4.1,0.26,29,29.0,44.0,7,18.0,23.0,5.2,8.0,60.0,"2016-11-25 16:00",,0.26,5,29,nan,nan,nan,nan
桃園,桃園市,26,nan,良好,3.5,0.39,29,31.0,28.0,4,14.0,18.0,3.7,4.5,87.0,"2016-11-25 16:00",,0.41,4,14,nan,nan,nan,nan
大同,臺北市,29,nan,良好,2.0,0.65,-,nan,24.0,8,25.0,47.0,22.0,nan,nan,"2016-11-25 16:00",,0.73,4,27,nan,nan,nan,nan
松山,臺北市,25,nan,良好,2.1,0.36,24,29.0,15.0,7,19.0,24.0,4.8,3.1,66.0,"2016-11-25 16:00",,0.4,5,10,nan,nan,nan,nan
古亭,臺北市,26,nan,良好,1.8,0.45,20,31.0,24.0,6,23.0,30.0,7.5,3.9,81.0,"2016-11-25 16:00",,0.47,7,11,nan,nan,nan,nan
萬華,臺北市,26,nan,良好,1.2,0.42,20,28.0,14.0,15,22.0,31.0,8.6,3.4,106.0,"2016-11-25 16:00",,0.48,7,20,nan,nan,nan,nan
中山,臺北市,27,nan,良好,2.0,0.5,21,28.0,18.0,2,22.0,34.0,11.0,3.5,117.0,"2016-11-25 16:00",,0.58,5,18,nan,nan,nan,nan
士林,臺北市,27,nan,良好,7.1,0.24,31,32.0,35.0,16,13.0,17.0,3.9,4.6,106.0,"2016-11-25 16:00",,0.26,7,17,nan,nan,nan,nan
淡水,新北市,28,nan,良好,2.5,0.19,34,33.0,17.0,13,4.1,4.7,0.6,nan,nan,"2016-11-25 16:00",,0.24,8,15,nan,nan,nan,nan
林口,新北市,36,nan,良好,1.6,0.25,31,32.0,37.0,14,14.0,17.0,3.8,6.1,98.0,"2016-11-25 16:00",,0.26,11,25,nan,nan,nan,nan
菜寮,新北市,25,nan,良好,2.2,0.36,31,30.0,19.0,8,12.0,14.0,2.2,4.4,88.0,"2016-11-25 16:00",,0.41,5,14,nan,nan,nan,nan
新莊,新北市,27,nan,良好,1.9,0.37,29,32.0,18.0,3,13.0,16.0,3.0,6.4,61.0,"2016-11-25 16:00",,0.36,2,10,nan,nan,nan,nan
板橋,新北市,23,nan,良好,2.6,0.44,25,27.0,27.0,6,17.0,22.0,4.4,3.7,62.0,"2016-11-25 16:00",,0.44,3,19,nan,nan,nan,nan
土城,新北市,25,nan,良好,1.5,0.35,30,29.0,16.0,6,11.0,15.0,3.4,2.3,202.0,"2016-11-25 16:00",,0.45,4,13,nan,nan,nan,nan
新店,新北市,29,nan,良好,1.4,0.35,31,31.0,5.0,8,12.0,15.0,3.0,2.2,99.0,"2016-11-25 16:00",,0.37,9,6,nan,nan,nan,nan
萬里,新北市,35,nan,良好,1.1,0.19,43,41.0,36.0,8,2.6,4.0,1.5,6.5,67.0,"2016-11-25 16:00",,0.2,3,34,nan,nan,nan,nan
汐止,新北市,23,nan,良好,0.5,0.22,28,27.0,23.0,7,12.0,16.0,3.6,3.8,47.0,"2016-11-25 16:00",,0.31,5,12,nan,nan,nan,nan
基隆,基隆市,30,nan,良好,1.1,0.21,38,35.0,17.0,6,3.3,4.8,1.4,3.0,74.0,"2016-11-25 16:00",,0.28,4,10,nan,nan,nan,nan
竹山,南投縣,59,細懸浮微粒,普通,3.4,0.4,51,48.0,59.0,37,13.0,15.0,1.4,1.4,178.0,"2016-11-25 17:00",,0.46,19,39,nan,nan,nan,nan
中壢,桃園市,25,nan,良好,2.1,1.24,17,28.0,18.0,7,26.0,49.0,23.0,1.9,175.0,"2016-11-25 17:00",,0.98,3,27,nan,nan,nan,nan
三重,新北市,35,nan,良好,2.0,1.45,-,nan,40.0,ND,34.0,100.0,65.0,nan,nan,"2016-11-25 17:00",,1.42,5,30,nan,nan,nan,nan
冬山,宜蘭縣,32,nan,良好,6.7,0.63,6.7,21.0,23.0,7,34.0,48.0,14.0,1.9,170.0,"2016-11-25 17:00",,0.43,2,14,nan,nan,nan,nan
宜蘭,宜蘭縣,25,nan,良好,1.8,0.42,32,30.0,22.0,5,11.0,13.0,1.9,1.4,132.0,"2016-11-25 17:00",,0.36,3,14,nan,nan,nan,nan
陽明,臺北市,34,nan,良好,1.5,0.19,42,40.0,3.0,2,1.1,1.8,0.7,nan,nan,"2016-11-25 17:00",,0.19,1,5,nan,nan,nan,nan
花蓮,花蓮縣,31,nan,良好,1.2,0.33,36,36.0,16.0,7,6.8,7.3,0.5,1.5,61.0,"2016-11-25 17:00",,0.38,5,16,nan,nan,nan,nan
臺東,臺東縣,26,nan,良好,nan,nan,31,31.0,26.0,5,6.9,9.5,2.6,2.6,47.0,"2016-11-25 17:00",,0.34,3,17,nan,nan,nan,nan
恆春,屏東縣,36,nan,良好,0.3,0.12,42,42.0,19.0,2,3.4,7.2,3.8,6.3,87.0,"2016-11-25 17:00",,0.13,1,15,nan,nan,nan,nan
潮州,屏東縣,100,臭氧八小時,普通,4.5,0.37,76,75.0,69.0,35,13.0,14.0,1.0,1.6,245.0,"2016-11-25 17:00",,0.47,33,64,nan,nan,nan,nan
屏東,屏東縣,108,臭氧八小時,不良(敏感族群),4.6,0.48,66,78.0,73.0,46,24.0,26.0,1.5,2.1,217.0,"2016-11-25 17:00",,0.61,34,68,nan,nan,nan,nan
小港,高雄市,89,細懸浮微粒,普通,6.8,0.29,53,49.0,61.0,nan,nan,nan,nan,2.8,270.0,"2016-11-25 17:00",,0.62,31,68,nan,nan,nan,nan
前鎮,高雄市,79,細懸浮微粒,普通,6.4,0.37,54,66.0,72.0,34,21.0,23.0,2.1,2.2,290.0,"2016-11-25 17:00",,0.72,27,71,nan,nan,nan,nan
前金,高雄市,87,細懸浮微粒,普通,2.9,0.34,58,62.0,60.0,41,11.0,12.0,0.6,1.6,297.0,"2016-11-25 17:00",,0.62,30,66,nan,nan,nan,nan
左營,高雄市,118,臭氧八小時,不良(敏感族群),3.0,0.27,65,82.0,56.0,nan,8.5,9.6,1.1,2.2,298.0,"2016-11-25 17:00",,0.64,37,69,nan,nan,nan,nan
楠梓,高雄市,74,細懸浮微粒,普通,1.7,0.21,56,63.0,94.0,22,13.0,15.0,1.7,1.7,256.0,"2016-11-25 17:00",,0.41,25,92,nan,nan,nan,nan
林園,高雄市,91,臭氧八小時,普通,3.6,0.23,75,72.0,nan,nan,9.9,10.0,0.4,2.3,272.0,"2016-11-25 17:00",,0.46,28,40,nan,nan,nan,nan
大寮,高雄市,82,細懸浮微粒,普通,7.0,0.4,33,29.0,74.0,25,23.0,25.0,2.1,1.8,280.0,"2016-11-25 17:00",,0.63,28,77,nan,nan,nan,nan
鳳山,高雄市,87,細懸浮微粒,普通,3.2,0.64,57,63.0,86.0,26,20.0,21.0,1.6,1.6,266.0,"2016-11-25 17:00",,0.87,30,95,nan,nan,nan,nan
仁武,高雄市,94,細懸浮微粒,普通,2.6,0.3,58,71.0,63.0,26,16.0,17.0,1.5,1.8,292.0,"2016-11-25 17:00",,0.7,33,75,nan,nan,nan,nan
橋頭,高雄市,74,細懸浮微粒,普通,2.6,0.32,60,64.0,51.0,19,10.0,12.0,1.5,3.1,272.0,"2016-11-25 17:00",,0.62,25,64,nan,nan,nan,nan
美濃,高雄市,99,細懸浮微粒,普通,3.1,0.47,72,64.0,75.0,42,14.0,15.0,1.1,2.3,212.0,"2016-11-25 17:00",,0.45,35,54,nan,nan,nan,nan
臺南,臺南市,59,細懸浮微粒,普通,2.2,0.4,63,56.0,47.0,21,13.0,13.0,0.3,1.7,268.0,"2016-11-25 17:00",,0.58,19,43,nan,nan,nan,nan
安南,臺南市,45,nan,良好,2.5,0.27,63,52.0,57.0,19,9.5,11.0,1.6,2.1,314.0,"2016-11-25 17:00",,0.4,14,41,nan,nan,nan,nan
善化,臺南市,57,細懸浮微粒,普通,2.2,0.29,62,52.0,61.0,27,14.0,14.0,0.4,1.7,290.0,"2016-11-25 17:00",,0.43,18,46,nan,nan,nan,nan
新營,臺南市,42,nan,良好,2.5,0.38,57,45.0,68.0,28,15.0,16.0,1.0,1.9,315.0,"2016-11-25 17:00",,0.37,13,44,nan,nan,nan,nan
嘉義,嘉義市,67,細懸浮微粒,普通,0.9,0.45,56,44.0,64.0,28,17.0,18.0,1.2,2.9,316.0,"2016-11-25 17:00",,0.56,22,48,nan,nan,nan,nan
臺西,雲林縣,45,nan,良好,3.0,0.21,47,53.0,32.0,16,7.5,8.3,0.8,6.8,25.0,"2016-11-25 17:00",,0.36,13,27,nan,nan,nan,nan
朴子,嘉義縣,49,nan,良好,2.6,0.32,56,48.0,69.0,26,9.8,11.0,1.1,2.5,352.0,"2016-11-25 17:00",,0.34,15,45,nan,nan,nan,nan
新港,嘉義縣,42,nan,良好,2.1,0.19,55,45.0,78.0,31,7.3,8.2,0.9,3.1,307.0,"2016-11-25 17:00",,0.37,13,44,nan,nan,nan,nan
崙背,雲林縣,52,細懸浮微粒,普通,2.5,0.25,46,43.0,52.0,28,7.7,9.6,1.9,3.7,313.0,"2016-11-25 17:00",,0.38,16,35,nan,nan,nan,nan
斗六,雲林縣,49,nan,良好,4.6,0.49,53,46.0,62.0,30,18.0,21.0,2.2,2.1,292.0,"2016-11-25 17:00",,0.39,15,34,nan,nan,nan,nan
南投,南投縣,59,細懸浮微粒,普通,1.0,0.49,51,51.0,67.0,33,16.0,18.0,1.9,2.2,149.0,"2016-11-25 17:00",,0.63,19,40,nan,nan,nan,nan
線西,彰化縣,39,nan,良好,6.3,0.3,33,39.0,61.0,21,16.0,18.0,2.0,3.1,40.0,"2016-11-25 17:00",,0.45,12,31,nan,nan,nan,nan
彰化,彰化縣,38,nan,良好,2.6,0.41,32,45.0,54.0,17,18.0,19.0,1.1,1.3,334.0,"2016-11-25 17:00",,0.43,9,24,nan,nan,nan,nan
西屯,臺中市,42,nan,良好,2.3,0.31,40,50.0,47.0,19,18.0,19.0,1.3,0.6,319.0,"2016-11-25 17:00",,0.32,10,26,nan,nan,nan,nan
忠明,臺中市,42,nan,良好,1.8,0.43,39,49.0,57.0,13,25.0,28.0,2.7,1.1,282.0,"2016-11-25 17:00",,0.43,7,21,nan,nan,nan,nan
大里,臺中市,44,nan,良好,3.3,0.46,54,52.0,50.0,25,nan,nan,nan,1.6,264.0,"2016-11-25 17:00",,0.56,10,28,nan,nan,nan,nan
沙鹿,臺中市,36,nan,良好,2.4,0.33,33,43.0,42.0,12,17.0,19.0,2.1,2.6,25.0,"2016-11-25 17:00",,0.34,6,24,nan,nan,nan,nan
豐原,臺中市,41,nan,良好,3.5,0.42,40,48.0,24.0,15,21.0,22.0,1.6,1.7,241.0,"2016-11-25 17:00",,0.47,7,14,nan,nan,nan,nan
三義,苗栗縣,36,nan,良好,2.0,0.34,40,42.0,38.0,18,nan,nan,nan,0.8,71.0,"2016-11-25 17:00",,0.26,4,18,nan,nan,nan,nan
苗栗,苗栗縣,29,nan,良好,3.3,0.52,20,34.0,35.0,4,25.0,28.0,3.9,1.7,62.0,"2016-11-25 17:00",,0.4,5,25,nan,nan,nan,nan
頭份,苗栗縣,31,nan,良好,1.4,0.32,28,36.0,19.0,8,14.0,16.0,1.7,2.3,69.0,"2016-11-25 17:00",,0.37,8,14,nan,nan,nan,nan
新竹,新竹市,27,nan,良好,2.5,0.33,24,32.0,24.0,ND,17.0,19.0,1.9,2.8,64.0,"2016-11-25 17:00",,0.4,3,23,nan,nan,nan,nan
竹東,新竹縣,26,nan,良好,1.9,0.27,28,31.0,15.0,9,11.0,12.0,0.5,1.4,62.0,"2016-11-25 17:00",,0.34,8,9,nan,nan,nan,nan
湖口,新竹縣,31,nan,良好,1.8,0.32,32,37.0,22.0,7,11.0,14.0,2.3,6.9,68.0,"2016-11-25 17:00",,0.31,7,15,nan,nan,nan,nan
龍潭,桃園市,25,nan,良好,2.0,0.34,25,30.0,29.0,4,14.0,17.0,3.2,6.4,64.0,"2016-11-25 17:00",,0.39,4,24,nan,nan,nan,nan
平鎮,桃園市,28,nan,良好,2.3,0.33,30,33.0,14.0,11,12.0,14.0,1.2,4.2,67.0,"2016-11-25 17:00",,0.37,5,19,nan,nan,nan,nan
觀音,桃園市,26,nan,良好,5.3,0.27,18,31.0,47.0,7,25.0,29.0,3.6,6.9,79.0,"2016-11-25 17:00",,0.25,8,28,nan,nan,nan,nan
大園,桃園市,27,nan,良好,3.6,0.25,27,29.0,38.0,10,18.0,21.0,3.8,7.9,64.0,"2016-11-25 17:00",,0.26,5,29,nan,nan,nan,nan
桃園,桃園市,26,nan,良好,3.5,0.41,26,31.0,24.0,6,16.0,19.0,2.8,5.0,88.0,"2016-11-25 17:00",,0.41,4,14,nan,nan,nan,nan
松山,臺北市,25,nan,良好,2.4,0.37,21,29.0,19.0,3,21.0,26.0,4.5,2.5,68.0,"2016-11-25 17:00",,0.4,5,11,nan,nan,nan,nan
古亭,臺北市,26,nan,良好,1.6,0.46,19,31.0,27.0,9,24.0,31.0,7.0,3.8,85.0,"2016-11-25 17:00",,0.47,7,12,nan,nan,nan,nan
萬華,臺北市,26,nan,良好,1.4,0.45,17,28.0,26.0,8,25.0,33.0,8.1,3.8,101.0,"2016-11-25 17:00",,0.48,7,21,nan,nan,nan,nan
麥寮,雲林縣,49,nan,良好,2.9,0.24,44,50.0,75.0,24,7.3,9.5,2.2,4.0,60.0,"2016-11-25 17:00",,0.36,14,53,nan,nan,nan,nan
關山,臺東縣,27,nan,良好,1.1,nan,35,32.0,19.0,4,4.6,5.2,0.6,2.2,54.0,"2016-11-25 17:00",,nan,8,18,nan,nan,nan,nan
馬公,澎湖縣,36,nan,良好,1.0,0.2,39,38.0,23.0,9,2.1,3.1,1.1,6.8,79.0,"2016-11-25 17:00",,0.2,11,22,nan,nan,nan,nan
金門,金門縣,45,nan,良好,3.3,0.35,31,28.0,40.0,20,12.0,14.0,1.7,4.2,54.0,"2016-11-25 17:00",,0.37,14,36,nan,nan,nan,nan
馬祖,連江縣,72,細懸浮微粒,普通,2.8,0.27,32,32.0,49.0,26,9.3,11.0,1.6,5.2,56.0,"2016-11-25 17:00",,0.33,24,38,nan,nan,nan,nan
埔里,南投縣,64,細懸浮微粒,普通,1.1,0.34,62,47.0,42.0,29,9.6,11.0,1.7,2.0,279.0,"2016-11-25 17:00",,0.39,21,37,nan,nan,nan,nan
復興,高雄市,79,細懸浮微粒,普通,6.3,0.6,53,1.0,61.0,23,25.0,28.0,2.4,1.1,200.0,"2016-11-25 17:00",,0.58,27,63,nan,nan,nan,nan
永和,新北市,26,nan,良好,1.8,0.53,23,31.0,19.0,2,21.0,28.0,7.6,4.2,91.0,"2016-11-25 17:00",,0.66,3,11,nan,nan,nan,nan
二林,彰化縣,34,nan,良好,3.0,0.25,24,40.0,53.0,14,11.0,11.0,0.3,3.3,337.0,"2016-11-25 17:00",,0.4,5,27,nan,nan,nan,nan
大同,臺北市,29,nan,良好,2.2,0.76,-,nan,35.0,9,27.0,52.0,26.0,nan,nan,"2016-11-25 17:00",,0.73,4,28,nan,nan,nan,nan
中山,臺北市,27,nan,良好,2.2,0.55,17,28.0,17.0,5,25.0,36.0,11.0,3.4,121.0,"2016-11-25 17:00",,0.58,5,18,nan,nan,nan,nan
士林,臺北市,27,nan,良好,8.1,0.25,29,32.0,32.0,20,15.0,19.0,3.4,4.8,108.0,"2016-11-25 17:00",,0.26,7,18,nan,nan,nan,nan
淡水,新北市,28,nan,良好,2.2,0.2,35,33.0,18.0,13,4.0,4.6,0.6,nan,nan,"2016-11-25 17:00",,0.24,8,15,nan,nan,nan,nan
林口,新北市,36,nan,良好,1.6,0.27,28,32.0,34.0,12,16.0,18.0,2.6,5.6,101.0,"2016-11-25 17:00",,0.26,11,25,nan,nan,nan,nan
菜寮,新北市,25,nan,良好,2.3,0.42,28,30.0,21.0,7,14.0,16.0,1.9,3.9,85.0,"2016-11-25 17:00",,0.41,5,15,nan,nan,nan,nan
新莊,新北市,27,nan,良好,2.0,0.39,27,32.0,20.0,2,14.0,16.0,2.1,6.3,61.0,"2016-11-25 17:00",,0.36,2,10,nan,nan,nan,nan
板橋,新北市,23,nan,良好,2.5,0.5,22,27.0,25.0,ND,20.0,23.0,3.6,3.4,64.0,"2016-11-25 17:00",,0.45,3,19,nan,nan,nan,nan
土城,新北市,25,nan,良好,1.5,0.4,26,29.0,15.0,7,14.0,17.0,2.6,2.3,188.0,"2016-11-25 17:00",,0.45,4,13,nan,nan,nan,nan
新店,新北市,29,nan,良好,1.4,0.46,27,31.0,7.0,8,17.0,20.0,3.5,2.2,103.0,"2016-11-25 17:00",,0.37,9,6,nan,nan,nan,nan
萬里,新北市,36,nan,良好,1.3,0.2,42,42.0,30.0,8,2.7,4.4,1.8,6.6,80.0,"2016-11-25 17:00",,0.2,3,33,nan,nan,nan,nan
汐止,新北市,24,nan,良好,0.4,0.23,29,28.0,20.0,7,11.0,14.0,2.5,3.4,44.0,"2016-11-25 17:00",,0.31,6,13,nan,nan,nan,nan
基隆,基隆市,31,nan,良好,1.0,0.23,38,36.0,17.0,6,3.2,4.7,1.5,3.3,81.0,"2016-11-25 17:00",,0.28,4,10,nan,nan,nan,nan
汐止,新北市,25,nan,良好,0.4,0.27,29,29.0,19.0,6,11.0,13.0,2.8,3.3,49.0,"2016-11-25 18:00",,0.31,6,13,nan,nan,nan,nan
基隆,基隆市,31,nan,良好,1.1,0.24,37,37.0,17.0,6,3.7,5.3,1.6,2.9,76.0,"2016-11-25 18:00",,0.28,4,11,nan,nan,nan,nan
復興,高雄市,79,細懸浮微粒,普通,4.0,0.6,55,1.0,51.0,20,21.0,22.0,1.5,0.8,221.0,"2016-11-25 18:00",,0.58,27,63,nan,nan,nan,nan
永和,新北市,26,nan,良好,1.8,0.72,18,31.0,17.0,4,25.0,34.0,8.7,3.8,90.0,"2016-11-25 18:00",,0.66,3,11,nan,nan,nan,nan
竹山,南投縣,59,細懸浮微粒,普通,5.1,0.48,43,51.0,70.0,34,19.0,20.0,1.6,1.5,256.0,"2016-11-25 18:00",,0.46,19,39,nan,nan,nan,nan
中壢,桃園市,25,nan,良好,2.2,1.43,16,28.0,33.0,3,27.0,51.0,24.0,2.1,260.0,"2016-11-25 18:00",,1.05,3,27,nan,nan,nan,nan
三重,新北市,35,nan,良好,2.3,1.9,-,nan,39.0,9,36.0,108.0,72.0,nan,nan,"2016-11-25 18:00",,1.42,5,31,nan,nan,nan,nan
冬山,宜蘭縣,32,nan,良好,3.2,0.41,18,21.0,23.0,ND,24.0,30.0,5.6,1.9,180.0,"2016-11-25 18:00",,0.45,2,14,nan,nan,nan,nan
宜蘭,宜蘭縣,25,nan,良好,2.0,0.48,27,30.0,24.0,3,15.0,17.0,2.6,1.6,128.0,"2016-11-25 18:00",,0.38,3,14,nan,nan,nan,nan
陽明,臺北市,35,nan,良好,1.4,0.19,42,41.0,4.0,ND,0.9,1.6,0.7,nan,nan,"2016-11-25 18:00",,0.19,1,5,nan,nan,nan,nan
花蓮,花蓮縣,31,nan,良好,1.2,0.42,30,37.0,16.0,7,10.0,11.0,0.8,1.6,69.0,"2016-11-25 18:00",,0.38,5,16,nan,nan,nan,nan
臺東,臺東縣,26,nan,良好,nan,nan,31,31.0,28.0,5,6.8,9.3,2.5,2.5,36.0,"2016-11-25 18:00",,0.34,3,17,nan,nan,nan,nan
恆春,屏東縣,36,nan,良好,-0.3,0.12,41,42.0,17.0,2,3.9,7.7,3.7,6.2,62.0,"2016-11-25 18:00",,0.13,1,15,nan,nan,nan,nan
潮州,屏東縣,108,臭氧八小時,不良(敏感族群),3.7,0.41,65,78.0,71.0,41,17.0,18.0,0.9,1.4,287.0,"2016-11-25 18:00",,0.47,33,65,nan,nan,nan,nan
屏東,屏東縣,110,臭氧八小時,不良(敏感族群),3.3,0.53,56,79.0,63.0,41,22.0,23.0,1.3,2.0,289.0,"2016-11-25 18:00",,0.61,35,69,nan,nan,nan,nan
小港,高雄市,87,細懸浮微粒,普通,5.2,0.34,44,52.0,68.0,12,27.0,28.0,1.0,2.3,281.0,"2016-11-25 18:00",,0.62,30,69,nan,nan,nan,nan
前鎮,高雄市,79,細懸浮微粒,普通,3.3,0.44,54,68.0,57.0,16,17.0,19.0,1.6,1.1,307.0,"2016-11-25 18:00",,0.72,27,71,nan,nan,nan,nan
前金,高雄市,87,細懸浮微粒,普通,2.3,0.43,54,65.0,52.0,28,12.0,13.0,0.5,1.8,316.0,"2016-11-25 18:00",,0.62,30,66,nan,nan,nan,nan
左營,高雄市,123,臭氧八小時,不良(敏感族群),3.1,0.3,60,84.0,53.0,nan,14.0,15.0,1.0,2.1,310.0,"2016-11-25 18:00",,0.64,38,69,nan,nan,nan,nan
楠梓,高雄市,77,細懸浮微粒,普通,0.9,0.36,52,66.0,90.0,22,17.0,18.0,1.6,1.8,302.0,"2016-11-25 18:00",,0.41,26,93,nan,nan,nan,nan
林園,高雄市,94,臭氧八小時,普通,4.3,0.28,64,73.0,41.0,nan,10.0,11.0,0.7,2.4,286.0,"2016-11-25 18:00",,0.46,28,41,nan,nan,nan,nan
大寮,高雄市,82,細懸浮微粒,普通,4.3,0.4,29,31.0,58.0,22,21.0,23.0,1.9,1.7,277.0,"2016-11-25 18:00",,0.63,28,77,nan,nan,nan,nan
鳳山,高雄市,87,細懸浮微粒,普通,2.4,0.73,49,64.0,80.0,27,19.0,21.0,1.4,1.7,282.0,"2016-11-25 18:00",,0.87,30,95,nan,nan,nan,nan
仁武,高雄市,97,臭氧八小時,普通,2.3,0.35,54,74.0,68.0,28,19.0,20.0,1.4,1.4,305.0,"2016-11-25 18:00",,0.7,33,75,nan,nan,nan,nan
橋頭,高雄市,78,臭氧八小時,普通,2.6,0.46,56,68.0,51.0,24,14.0,16.0,1.6,2.0,293.0,"2016-11-25 18:00",,0.62,25,63,nan,nan,nan,nan
美濃,高雄市,99,細懸浮微粒,普通,2.4,0.44,55,66.0,74.0,37,13.0,14.0,1.0,1.4,258.0,"2016-11-25 18:00",,0.45,35,54,nan,nan,nan,nan
臺南,臺南市,57,細懸浮微粒,普通,2.2,0.51,59,60.0,44.0,19,17.0,17.0,0.1,1.7,346.0,"2016-11-25 18:00",,0.58,18,43,nan,nan,nan,nan
安南,臺南市,47,nan,良好,2.5,0.33,59,56.0,59.0,16,11.0,13.0,1.5,1.3,325.0,"2016-11-25 18:00",,0.4,13,40,nan,nan,nan,nan
善化,臺南市,57,細懸浮微粒,普通,2.3,0.37,55,57.0,63.0,24,16.0,16.0,0.3,1.1,305.0,"2016-11-25 18:00",,0.43,18,46,nan,nan,nan,nan
新營,臺南市,42,nan,良好,3.1,0.4,47,48.0,68.0,19,16.0,16.0,0.8,2.0,41.0,"2016-11-25 18:00",,0.37,13,44,nan,nan,nan,nan
嘉義,嘉義市,67,細懸浮微粒,普通,0.7,0.57,42,47.0,63.0,28,21.0,22.0,1.4,2.5,342.0,"2016-11-25 18:00",,0.56,22,48,nan,nan,nan,nan
臺西,雲林縣,46,nan,良好,2.5,0.2,43,54.0,30.0,17,6.0,6.5,0.6,4.7,24.0,"2016-11-25 18:00",,0.36,14,27,nan,nan,nan,nan
朴子,嘉義縣,49,nan,良好,1.8,0.35,42,50.0,74.0,19,11.0,11.0,0.7,1.8,46.0,"2016-11-25 18:00",,0.34,15,45,nan,nan,nan,nan
新港,嘉義縣,45,nan,良好,1.5,0.22,39,48.0,67.0,18,8.4,9.2,0.8,2.6,310.0,"2016-11-25 18:00",,0.37,14,44,nan,nan,nan,nan
崙背,雲林縣,52,細懸浮微粒,普通,2.5,0.29,33,44.0,54.0,22,10.0,12.0,1.9,2.5,319.0,"2016-11-25 18:00",,0.38,16,35,nan,nan,nan,nan
斗六,雲林縣,49,nan,良好,6.6,0.56,29,47.0,67.0,19,25.0,27.0,2.0,1.5,14.0,"2016-11-25 18:00",,0.41,15,35,nan,nan,nan,nan
南投,南投縣,62,細懸浮微粒,普通,2.6,0.6,37,53.0,75.0,31,24.0,26.0,1.9,0.7,222.0,"2016-11-25 18:00",,0.63,20,42,nan,nan,nan,nan
二林,彰化縣,35,nan,良好,3.3,0.25,29,41.0,47.0,26,13.0,13.0,0.1,0.6,300.0,"2016-11-25 18:00",,0.4,6,27,nan,nan,nan,nan
線西,彰化縣,39,nan,良好,4.2,0.37,20,39.0,54.0,18,25.0,27.0,2.2,1.5,57.0,"2016-11-25 18:00",,0.45,12,33,nan,nan,nan,nan
彰化,彰化縣,38,nan,良好,3.1,0.62,17,45.0,51.0,10,28.0,30.0,1.5,0.8,171.0,"2016-11-25 18:00",,0.43,9,25,nan,nan,nan,nan
西屯,臺中市,42,nan,良好,3.1,0.57,28,50.0,56.0,23,33.0,33.0,0.6,0.5,207.0,"2016-11-25 18:00",,0.33,10,28,nan,nan,nan,nan
忠明,臺中市,42,nan,良好,3.3,0.72,24,49.0,56.0,20,42.0,46.0,4.7,1.7,178.0,"2016-11-25 18:00",,0.44,8,22,nan,nan,nan,nan
大里,臺中市,44,nan,良好,3.4,0.96,19,52.0,56.0,19,43.0,50.0,6.2,1.3,211.0,"2016-11-25 18:00",,0.56,10,29,nan,nan,nan,nan
