,站點,城市,aqi,狀態,pm25
182,新營,臺南市,42.0,良好,13.0
183,嘉義,嘉義市,64.0,普通,21.0
184,臺西,雲林縣,45.0,良好,14.0
185,朴子,嘉義縣,49.0,良好,15.0
186,新港,嘉義縣,42.0,良好,13.0
187,崙背,雲林縣,49.0,良好,15.0
188,斗六,雲林縣,49.0,良好,15.0
189,南投,南投縣,57.0,普通,18.0
190,二林,彰化縣,30.0,良好,4.0
191,線西,彰化縣,36.0,良好,11.0
192,彰化,彰化縣,32.0,良好,9.0
193,西屯,臺中市,36.0,良好,8.0
194,忠明,臺中市,34.0,良好,6.0
195,大里,臺中市,31.0,良好,8.0
196,沙鹿,臺中市,31.0,良好,6.0
197,豐原,臺中市,31.0,良好,7.0
198,三義,苗栗縣,30.0,良好,3.0
199,苗栗,苗栗縣,27.0,良好,5.0
200,頭份,苗栗縣,26.0,良好,7.0
201,新竹,新竹市,26.0,良好,3.0
202,竹東,新竹縣,26.0,良好,8.0
203,湖口,新竹縣,30.0,良好,7.0
204,龍潭,桃園市,25.0,良好,5.0
205,平鎮,桃園市,27.0,良好,5.0
206,觀音,桃園市,26.0,良好,8.0
207,大園,桃園市,26.0,良好,5.0
208,桃園,桃園市,26.0,良好,4.0
209,大同,臺北市,29.0,良好,3.0
210,松山,臺北市,25.0,良好,5.0
211,古亭,臺北市,26.0,良好,8.0
212,萬華,臺北市,26.0,良好,7.0
213,中山,臺北市,27.0,良好,5.0
214,士林,臺北市,27.0,良好,6.0
215,淡水,新北市,27.0,良好,7.0
216,林口,新北市,36.0,良好,11.0
217,菜寮,新北市,25.0,良好,5.0
218,新莊,新北市,26.0,良好,2.0
219,宜蘭,宜蘭縣,24.0,良好,3.0
220,陽明,臺北市,31.0,良好,1.0
221,花蓮,花蓮縣,25.0,良好,6.0
222,板橋,新北市,18.0,良好,3.0
223,新店,新北市,29.0,良好,9.0
224,萬里,新北市,34.0,良好,3.0
225,汐止,新北市,23.0,良好,5.0
226,基隆,基隆市,30.0,良好,4.0
227,土城,新北市,25.0,良好,4.0
228,麥寮,雲林縣,48.0,良好,14.0
229,關山,臺東縣,26.0,良好,8.0
230,馬公,澎湖縣,36.0,良好,11.0
231,金門,金門縣,45.0,良好,14.0
232,馬祖,連江縣,69.0,普通,23.0
233,埔里,南投縣,62.0,普通,20.0
234,復興,高雄市,79.0,普通,27.0
235,永和,新北市,26.0,良好,3.0
236,竹山,南投縣,57.0,普通,18.0
237,中壢,桃園市,25.0,良好,4.0
238,三重,新北市,35.0,良好,5.0
239,冬山,宜蘭縣,27.0,良好,2.0
240,宜蘭,宜蘭縣,25.0,良好,3.0
241,陽明,臺北市,33.0,良好,1.0
242,花蓮,花蓮縣,29.0,良好,6.0
243,臺東,臺東縣,25.0,良好,3.0
244,恆春,屏東縣,36.0,良好,1.0
245,潮州,屏東縣,94.0,普通,33.0
246,屏東,屏東縣,94.0,普通,33.0
247,小港,高雄市,89.0,普通,31.0
248,前鎮,高雄市,77.0,普通,26.0
249,前金,高雄市,84.0,普通,29.0
250,左營,高雄市,103.0,不良（敏感族群）,37.0
251,楠梓,高雄市,74.0,普通,25.0
252,林園,高雄市,82.0,普通,28.0
253,大寮,高雄市,79.0,普通,27.0
254,鳳山,高雄市,87.0,普通,30.0
255,仁武,高雄市,94.0,普通,33.0
256,橋頭,高雄市,74.0,普通,25.0
257,美濃,高雄市,99.0,普通,35.0
258,臺南,臺南市,59.0,普通,19.0
259,安南,臺南市,45.0,良好,14.0
260,善化,臺南市,57.0,普通,18.0
261,新營,臺南市,42.0,良好,13.0
262,嘉義,嘉義市,67.0,普通,22.0
263,臺西,雲林縣,43.0,良好,13.0
264,朴子,嘉義縣,49.0,良好,15.0
265,新港,嘉義縣,42.0,良好,13.0
266,崙背,雲林縣,49.0,良好,15.0
267,斗六,雲林縣,49.0,良好,15.0
268,南投,南投縣,59.0,普通,19.0
269,二林,彰化縣,34.0,良好,4.0
270,線西,彰化縣,36.0,良好,11.0
271,彰化,彰化縣,36.0,良好,9.0
272,西屯,臺中市,40.0,良好,9.0
273,忠明,臺中市,39.0,良好,7.0
274,大里,臺中市,39.0,良好,9.0
275,沙鹿,臺中市,35.0,良好,6.0
276,豐原,臺中市,37.0,良好,7.0
277,三義,苗栗縣,34.0,良好,3.0
278,苗栗,苗栗縣,29.0,良好,5.0
279,頭份,苗栗縣,29.0,良好,7.0
280,新竹,新竹市,27.0,良好,3.0
281,竹東,新竹縣,26.0,良好,8.0
282,湖口,新竹縣,31.0,良好,7.0
283,龍潭,桃園市,25.0,良好,5.0
284,平鎮,桃園市,27.0,良好,5.0
285,觀音,桃園市,26.0,良好,8.0
286,大園,桃園市,27.0,良好,5.0
287,桃園,桃園市,26.0,良好,4.0
288,大同,臺北市,29.0,良好,4.0
289,松山,臺北市,25.0,良好,5.0
290,古亭,臺北市,26.0,良好,7.0
291,萬華,臺北市,26.0,良好,7.0
292,中山,臺北市,27.0,良好,5.0
293,士林,臺北市,27.0,良好,7.0
294,淡水,新北市,28.0,良好,8.0
295,林口,新北市,36.0,良好,11.0
296,菜寮,新北市,25.0,良好,5.0
297,新莊,新北市,27.0,良好,2.0
298,板橋,新北市,23.0,良好,3.0
299,土城,新北市,25.0,良好,4.0
300,新店,新北市,29.0,良好,9.0
301,萬里,新北市,35.0,良好,3.0
302,汐止,新北市,23.0,良好,5.0
303,基隆,基隆市,30.0,良好,4.0
304,竹山,南投縣,59.0,普通,19.0
305,中壢,桃園市,25.0,良好,3.0
306,三重,新北市,35.0,良好,5.0
307,冬山,宜蘭縣,32.0,良好,2.0
308,宜蘭,宜蘭縣,25.0,良好,3.0
309,陽明,臺北市,34.0,良好,1.0
310,花蓮,花蓮縣,31.0,良好,5.0
311,臺東,臺東縣,26.0,良好,3.0
312,恆春,屏東縣,36.0,良好,1.0
313,潮州,屏東縣,100.0,普通,33.0
314,屏東,屏東縣,108.0,不良(敏感族群),34.0
315,小港,高雄市,89.0,普通,31.0
316,前鎮,高雄市,79.0,普通,27.0
317,前金,高雄市,87.0,普通,30.0
318,左營,高雄市,118.0,不良(敏感族群),37.0
319,楠梓,高雄市,74.0,普通,25.0
320,林園,高雄市,91.0,普通,28.0
321,大寮,高雄市,82.0,普通,28.0
322,鳳山,高雄市,87.0,普通,30.0
323,仁武,高雄市,94.0,普通,33.0
324,橋頭,高雄市,74.0,普通,25.0
325,美濃,高雄市,99.0,普通,35.0
326,臺南,臺南市,59.0,普通,19.0
327,安南,臺南市,45.0,良好,14.0
328,善化,臺南市,57.0,普通,18.0
329,新營,臺南市,42.0,良好,13.0
330,嘉義,嘉義市,67.0,普通,22.0
331,臺西,雲林縣,45.0,良好,13.0
332,朴子,嘉義縣,49.0,良好,15.0
333,新港,嘉義縣,42.0,良好,13.0
334,崙背,雲林縣,52.0,普通,16.0
335,斗六,雲林縣,49.0,良好,15.0
336,南投,南投縣,59.0,普通,19.0
337,線西,彰化縣,39.0,良好,12.0
338,彰化,彰化縣,38.0,良好,9.0
339,西屯,臺中市,42.0,良好,10.0
340,忠明,臺中市,42.0,良好,7.0
341,大里,臺中市,44.0,良好,10.0
342,沙鹿,臺中市,36.0,良好,6.0
343,豐原,臺中市,41.0,良好,7.0
344,三義,苗栗縣,36.0,良好,4.0
345,苗栗,苗栗縣,29.0,良好,5.0
346,頭份,苗栗縣,31.0,良好,8.0
347,新竹,新竹市,27.0,良好,3.0
348,竹東,新竹縣,26.0,良好,8.0
349,湖口,新竹縣,31.0,良好,7.0
350,龍潭,桃園市,25.0,良好,4.0
351,平鎮,桃園市,28.0,良好,5.0
352,觀音,桃園市,26.0,良好,8.0
353,大園,桃園市,27.0,良好,5.0
354,桃園,桃園市,26.0,良好,4.0
355,松山,臺北市,25.0,良好,5.0
356,古亭,臺北市,26.0,良好,7.0
357,萬華,臺北市,26.0,良好,7.0
358,麥寮,雲林縣,49.0,良好,14.0
359,關山,臺東縣,27.0,良好,8.0
360,馬公,澎湖縣,36.0,良好,11.0
361,金門,金門縣,45.0,良好,14.0
362,馬祖,連江縣,72.0,普通,24.0
363,埔里,南投縣,64.0,普通,21.0
364,復興,高雄市,79.0,普通,27.0
365,永和,新北市,26.0,良好,3.0
366,二林,彰化縣,34.0,良好,5.0
367,大同,臺北市,29.0,良好,4.0
368,中山,臺北市,27.0,良好,5.0
369,士林,臺北市,27.0,良好,7.0
370,淡水,新北市,28.0,良好,8.0
371,林口,新北市,36.0,良好,11.0
372,菜寮,新北市,25.0,良好,5.0
373,新莊,新北市,27.0,良好,2.0
374,板橋,新北市,23.0,良好,3.0
375,土城,新北市,25.0,良好,4.0
376,新店,新北市,29.0,良好,9.0
377,萬里,新北市,36.0,良好,3.0
378,汐止,新北市,24.0,良好,6.0
379,基隆,基隆市,31.0,良好,4.0
380,汐止,新北市,25.0,良好,6.0
381,基隆,基隆市,31.0,良好,4.0
382,復興,高雄市,79.0,普通,27.0
383,永和,新北市,26.0,良好,3.0
384,竹山,南投縣,59.0,普通,19.0
385,中壢,桃園市,25.0,良好,3.0
386,三重,新北市,35.0,良好,5.0
387,冬山,宜蘭縣,32.0,良好,2.0
388,宜蘭,宜蘭縣,25.0,良好,3.0
389,陽明,臺北市,35.0,良好,1.0
390,花蓮,花蓮縣,31.0,良好,5.0
391,臺東,臺東縣,26.0,良好,3.0
392,恆春,屏東縣,36.0,良好,1.0
393,潮州,屏東縣,108.0,不良(敏感族群),33.0
394,屏東,屏東縣,110.0,不良(敏感族群),35.0
395,小港,高雄市,87.0,普通,30.0
396,前鎮,高雄市,79.0,普通,27.0
397,前金,高雄市,87.0,普通,30.0
398,左營,高雄市,123.0,不良(敏感族群),38.0
399,楠梓,高雄市,77.0,普通,26.0
400,林園,高雄市,94.0,普通,28.0
401,大寮,高雄市,82.0,普通,28.0
402,鳳山,高雄市,87.0,普通,30.0
403,仁武,高雄市,97.0,普通,33.0
404,橋頭,高雄市,78.0,普通,25.0
405,美濃,高雄市,99.0,普通,35.0
406,臺南,臺南市,57.0,普通,18.0
407,安南,臺南市,47.0,良好,13.0
408,善化,臺南市,57.0,普通,18.0
409,新營,臺南市,42.0,良好,13.0
410,嘉義,嘉義市,67.0,普通,22.0
411,臺西,雲林縣,46.0,良好,14.0
412,朴子,嘉義縣,49.0,良好,15.0
413,新港,嘉義縣,45.0,良好,14.0
414,崙背,雲林縣,52.0,普通,16.0
415,斗六,雲林縣,49.0,良好,15.0
416,南投,南投縣,62.0,普通,20.0
417,二林,彰化縣,35.0,良好,6.0
418,線西,彰化縣,39.0,良好,12.0
419,彰化,彰化縣,38.0,良好,9.0
420,西屯,臺中市,42.0,良好,10.0
421,忠明,臺中市,42.0,良好,8.0
422,大里,臺中市,44.0,良好,10.0
423,沙鹿,臺中市,36.0,良好,7.0
424,豐原,臺中市,42.0,良好,8.0
425,三義,苗栗縣,36.0,良好,5.0
426,苗栗,苗栗縣,29.0,良好,5.0
427,頭份,苗栗縣,31.0,良好,8.0
428,新竹,新竹市,27.0,良好,3.0
429,竹東,新竹縣,29.0,良好,9.0
430,湖口,新竹縣,31.0,良好,7.0
431,龍潭,桃園市,25.0,良好,4.0
432,平鎮,桃園市,28.0,良好,5.0
433,觀音,桃園市,26.0,良好,8.0
434,大園,桃園市,28.0,良好,5.0
435,桃園,桃園市,26.0,良好,4.0
436,大同,臺北市,29.0,良好,4.0
437,松山,臺北市,25.0,良好,5.0
438,古亭,臺北市,26.0,良好,7.0
439,萬華,臺北市,26.0,良好,7.0
440,中山,臺北市,27.0,良好,5.0
441,士林,臺北市,27.0,良好,8.0
442,淡水,新北市,29.0,良好,8.0
443,林口,新北市,39.0,良好,12.0
444,菜寮,新北市,25.0,良好,6.0
445,新莊,新北市,27.0,良好,2.0
446,板橋,新北市,23.0,良好,3.0
447,土城,新北市,25.0,良好,4.0
448,新店,新北市,29.0,良好,9.0
449,萬里,新北市,36.0,良好,3.0
450,麥寮,雲林縣,49.0,良好,14.0
451,關山,臺東縣,28.0,良好,8.0
452,馬公,澎湖縣,36.0,良好,11.0
453,金門,金門縣,49.0,良好,15.0
454,馬祖,連江縣,72.0,普通,24.0
455,埔里,南投縣,67.0,普通,22.0
456,臺東,臺東縣,26.0,良好,3.0
457,恆春,屏東縣,36.0,良好,1.0
458,潮州,屏東縣,108.0,不良(敏感族群),33.0
459,屏東,屏東縣,110.0,不良(敏感族群),35.0
460,小港,高雄市,84.0,普通,29.0
461,前鎮,高雄市,84.0,普通,26.0
462,前金,高雄市,87.0,普通,30.0
463,左營,高雄市,125.0,不良(敏感族群),38.0
464,楠梓,高雄市,77.0,普通,26.0
465,林園,高雄市,100.0,普通,28.0
466,大寮,高雄市,82.0,普通,28.0
467,鳳山,高雄市,87.0,普通,30.0
468,仁武,高雄市,97.0,普通,32.0
469,橋頭,高雄市,78.0,普通,25.0
470,美濃,高雄市,97.0,普通,34.0
471,臺南,臺南市,57.0,普通,18.0
472,安南,臺南市,49.0,良好,14.0
473,善化,臺南市,57.0,普通,18.0
474,新營,臺南市,42.0,良好,13.0
475,嘉義,嘉義市,67.0,普通,22.0
476,臺西,雲林縣,46.0,良好,14.0
477,朴子,嘉義縣,49.0,良好,15.0
478,新港,嘉義縣,45.0,良好,14.0
479,崙背,雲林縣,52.0,普通,16.0
480,斗六,雲林縣,49.0,良好,15.0
481,南投,南投縣,64.0,普通,21.0
482,二林,彰化縣,35.0,良好,6.0
483,線西,彰化縣,39.0,良好,12.0
484,彰化,彰化縣,38.0,良好,9.0
485,西屯,臺中市,50.0,良好,11.0
486,忠明,臺中市,44.0,良好,8.0
487,大里,臺中市,44.0,良好,11.0
488,沙鹿,臺中市,36.0,良好,7.0
489,豐原,臺中市,42.0,良好,8.0
490,三義,苗栗縣,36.0,良好,5.0
491,苗栗,苗栗縣,29.0,良好,6.0
492,頭份,苗栗縣,31.0,良好,8.0
493,新竹,新竹市,27.0,良好,3.0
494,竹東,新竹縣,29.0,良好,9.0
495,湖口,新竹縣,31.0,良好,7.0
496,龍潭,桃園市,25.0,良好,4.0
497,平鎮,桃園市,28.0,良好,5.0
498,觀音,桃園市,29.0,良好,9.0
499,大園,桃園市,30.0,良好,5.0
500,桃園,桃園市,26.0,良好,4.0
501,大同,臺北市,29.0,良好,4.0
502,松山,臺北市,25.0,良好,5.0
503,古亭,臺北市,26.0,良好,8.0
504,萬華,臺北市,26.0,良好,7.0
505,中山,臺北市,27.0,良好,5.0
506,士林,臺北市,27.0,良好,8.0
507,淡水,新北市,29.0,良好,8.0
508,林口,新北市,39.0,良好,12.0
509,菜寮,新北市,25.0,良好,6.0
510,新莊,新北市,27.0,良好,2.0
511,板橋,新北市,23.0,良好,3.0
512,土城,新北市,25.0,良好,4.0
513,新店,新北市,32.0,良好,10.0
514,萬里,新北市,36.0,良好,4.0
515,汐止,新北市,25.0,良好,6.0
516,基隆,基隆市,31.0,良好,4.0
517,麥寮,雲林縣,49.0,良好,15.0
518,關山,臺東縣,29.0,良好,8.0
519,馬公,澎湖縣,36.0,良好,11.0
520,金門,金門縣,49.0,良好,15.0
521,馬祖,連江縣,72.0,普通,24.0
522,埔里,南投縣,69.0,普通,23.0
523,復興,高雄市,77.0,普通,26.0
524,永和,新北市,26.0,良好,3.0
525,竹山,南投縣,59.0,普通,19.0
526,中壢,桃園市,25.0,良好,3.0
527,三重,新北市,35.0,良好,5.0
528,冬山,宜蘭縣,32.0,良好,2.0
529,宜蘭,宜蘭縣,26.0,良好,3.0
530,陽明,臺北市,35.0,良好,1.0
531,花蓮,花蓮縣,31.0,良好,6.0
532,麥寮,雲林縣,50.0,良好,15.0
533,關山,臺東縣,29.0,良好,8.0
534,馬公,澎湖縣,36.0,良好,11.0
535,金門,金門縣,49.0,良好,15.0
536,馬祖,連江縣,74.0,普通,25.0
537,埔里,南投縣,69.0,普通,23.0
538,復興,高雄市,77.0,普通,26.0
539,永和,新北市,25.0,良好,3.0
540,竹山,南投縣,62.0,普通,20.0
541,中壢,桃園市,26.0,良好,3.0
542,三重,新北市,35.0,良好,5.0
543,冬山,宜蘭縣,32.0,良好,2.0
544,宜蘭,宜蘭縣,26.0,良好,3.0
545,陽明,臺北市,35.0,良好,1.0
546,恆春,屏東縣,36.0,良好,1.0
547,潮州,屏東縣,108.0,不良(敏感族群),34.0
548,屏東,屏東縣,110.0,不良(敏感族群),35.0
549,小港,高雄市,84.0,普通,29.0
550,前鎮,高雄市,84.0,普通,25.0
551,前金,高雄市,84.0,普通,29.0
552,左營,高雄市,125.0,不良(敏感族群),39.0
553,楠梓,高雄市,77.0,普通,26.0
554,林園,高雄市,100.0,普通,28.0
555,大寮,高雄市,79.0,普通,27.0
556,鳳山,高雄市,84.0,普通,29.0
557,仁武,高雄市,97.0,普通,32.0
558,橋頭,高雄市,78.0,普通,24.0
559,美濃,高雄市,97.0,普通,34.0
560,臺南,臺南市,57.0,普通,18.0
561,安南,臺南市,49.0,良好,14.0
562,善化,臺南市,57.0,普通,18.0
563,新營,臺南市,45.0,良好,14.0
564,嘉義,嘉義市,69.0,普通,23.0
565,臺西,雲林縣,46.0,良好,14.0
566,朴子,嘉義縣,49.0,良好,15.0
567,新港,嘉義縣,45.0,良好,14.0
568,崙背,雲林縣,52.0,普通,16.0
569,斗六,雲林縣,49.0,良好,15.0
570,南投,南投縣,67.0,普通,22.0
571,二林,彰化縣,35.0,良好,7.0
572,線西,彰化縣,42.0,良好,13.0
573,彰化,彰化縣,38.0,良好,9.0
574,西屯,臺中市,51.0,普通,12.0
575,忠明,臺中市,47.0,良好,9.0
576,大里,臺中市,44.0,良好,11.0
577,沙鹿,臺中市,41.0,良好,8.0
