,站點,城市,aqi,狀態,pm25
719,崙背,雲林縣,54.0,普通,17.0
720,斗六,雲林縣,49.0,良好,15.0
721,南投,南投縣,72.0,普通,24.0
722,二林,彰化縣,35.0,良好,8.0
723,線西,彰化縣,45.0,良好,14.0
724,彰化,彰化縣,38.0,良好,10.0
725,西屯,臺中市,51.0,普通,12.0
726,忠明,臺中市,47.0,良好,10.0
727,大里,臺中市,44.0,良好,13.0
728,沙鹿,臺中市,46.0,良好,10.0
729,豐原,臺中市,42.0,良好,12.0
730,三義,苗栗縣,36.0,良好,7.0
731,苗栗,苗栗縣,30.0,良好,7.0
732,頭份,苗栗縣,31.0,良好,8.0
733,新竹,新竹市,27.0,良好,3.0
734,竹東,新竹縣,32.0,良好,10.0
735,湖口,新竹縣,31.0,良好,8.0
736,龍潭,桃園市,25.0,良好,5.0
737,平鎮,桃園市,28.0,良好,5.0
738,觀音,桃園市,32.0,良好,10.0
739,大園,桃園市,30.0,良好,6.0
740,桃園,桃園市,26.0,良好,3.0
741,麥寮,雲林縣,51.0,普通,15.0
742,關山,臺東縣,29.0,良好,8.0
743,馬公,澎湖縣,36.0,良好,11.0
744,大同,臺北市,29.0,良好,4.0
745,松山,臺北市,23.0,良好,5.0
746,古亭,臺北市,26.0,良好,8.0
747,萬華,臺北市,26.0,良好,8.0
748,中山,臺北市,27.0,良好,5.0
749,士林,臺北市,28.0,良好,8.0
750,淡水,新北市,29.0,良好,8.0
751,林口,新北市,39.0,良好,12.0
752,菜寮,新北市,25.0,良好,6.0
753,新莊,新北市,27.0,良好,2.0
754,板橋,新北市,23.0,良好,4.0
755,土城,新北市,25.0,良好,4.0
756,新店,新北市,32.0,良好,10.0
757,萬里,新北市,36.0,良好,4.0
758,汐止,新北市,26.0,良好,5.0
759,基隆,基隆市,31.0,良好,4.0
760,麥寮,雲林縣,52.0,普通,15.0
761,關山,臺東縣,29.0,良好,7.0
762,三重,新北市,34.0,良好,5.0
763,冬山,宜蘭縣,32.0,良好,2.0
764,宜蘭,宜蘭縣,28.0,良好,3.0
765,陽明,臺北市,35.0,良好,1.0
766,花蓮,花蓮縣,31.0,良好,7.0
767,臺東,臺東縣,26.0,良好,3.0
768,恆春,屏東縣,36.0,良好,1.0
769,潮州,屏東縣,108.0,不良(敏感族群),35.0
770,屏東,屏東縣,110.0,不良(敏感族群),34.0
771,小港,高雄市,79.0,普通,27.0
772,前鎮,高雄市,84.0,普通,23.0
773,前金,高雄市,79.0,普通,27.0
774,左營,高雄市,125.0,不良(敏感族群),38.0
775,楠梓,高雄市,79.0,普通,27.0
776,林園,高雄市,100.0,普通,29.0
777,大寮,高雄市,79.0,普通,27.0
778,鳳山,高雄市,82.0,普通,28.0
779,仁武,高雄市,97.0,普通,31.0
780,橋頭,高雄市,78.0,普通,24.0
781,美濃,高雄市,97.0,普通,34.0
782,臺南,臺南市,59.0,普通,19.0
783,安南,臺南市,49.0,良好,15.0
784,善化,臺南市,57.0,普通,18.0
785,新營,臺南市,49.0,良好,15.0
786,嘉義,嘉義市,69.0,普通,23.0
787,臺西,雲林縣,52.0,普通,16.0
788,朴子,嘉義縣,52.0,普通,16.0
789,新港,嘉義縣,52.0,普通,16.0
790,崙背,雲林縣,54.0,普通,17.0
791,斗六,雲林縣,52.0,普通,16.0
792,南投,南投縣,74.0,普通,25.0
793,二林,彰化縣,35.0,良好,8.0
794,線西,彰化縣,49.0,良好,15.0
795,彰化,彰化縣,38.0,良好,10.0
796,西屯,臺中市,51.0,普通,13.0
797,忠明,臺中市,47.0,良好,11.0
798,大里,臺中市,45.0,良好,14.0
799,沙鹿,臺中市,46.0,良好,11.0
800,豐原,臺中市,42.0,良好,13.0
801,三義,苗栗縣,36.0,良好,8.0
802,苗栗,苗栗縣,30.0,良好,7.0
803,頭份,苗栗縣,31.0,良好,9.0
804,新竹,新竹市,27.0,良好,3.0
805,竹東,新竹縣,36.0,良好,11.0
806,湖口,新竹縣,31.0,良好,8.0
807,龍潭,桃園市,25.0,良好,5.0
808,平鎮,桃園市,28.0,良好,5.0
809,觀音,桃園市,32.0,良好,10.0
810,大園,桃園市,31.0,良好,5.0
811,馬公,澎湖縣,36.0,良好,11.0
812,金門,金門縣,49.0,良好,15.0
813,馬祖,連江縣,69.0,普通,23.0
814,埔里,南投縣,74.0,普通,25.0
815,復興,高雄市,72.0,普通,24.0
816,永和,新北市,23.0,良好,3.0
817,竹山,南投縣,69.0,普通,23.0
818,中壢,桃園市,28.0,良好,3.0
819,土城,新北市,25.0,良好,4.0
820,新店,新北市,32.0,良好,10.0
821,萬里,新北市,36.0,良好,4.0
822,汐止,新北市,26.0,良好,6.0
823,基隆,基隆市,31.0,良好,5.0
824,桃園,桃園市,26.0,良好,3.0
825,大同,臺北市,29.0,良好,4.0
826,松山,臺北市,23.0,良好,5.0
827,古亭,臺北市,26.0,良好,8.0
828,萬華,臺北市,26.0,良好,8.0
829,中山,臺北市,27.0,良好,5.0
830,士林,臺北市,29.0,良好,8.0
831,淡水,新北市,30.0,良好,8.0
